Item code,Item name,mSupply Row ID,PQSVaccineID,VaccineType,VaccineTypeName,Manufacturer,CommercialName,PharmaceuticalForm,Presentation,DosesCount,ShelfLife,VaccinePreservative,AdministrationRoute,VaccineStorageTemperature,PrequalificationStatus,VaccineVialMonitor,MultidoseVialPolicy,VaccinePrimaryVolume,VaccineSecondaryVolume,VaccineTertiaryVolume,DiluentBundled,DiluentPrimaryVolume,DiluentSecondaryVolume,DiluentTertiaryVolume,FreezeSensitive,DiluentStorageTemperature,AlAdjuvant,Nbre doses dans calendrier,Prix du flacon ($/flacon),UNICEF PS,PAHO RF,National prices,US CDC,US Private,,,Designation,,PharmaceuticalForm,,VaccineStorageTemperature
☆ BCG-2VSAE-10-S1,BCG - two vial set (active + excipient) - 10 doses - [S1],1,164,BCG,BCG,AJ Vaccines A/S,BCG Vaccine SSI,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),10,12,none,Intradermal,2-8°C,Current,14,0,0.013300,0.013300,0.013300,Yes,0.000000,0.000000,0.000000,,NA,,1,$2.31,0.231,,,,,,,bOPV,,Liquid: ready to use,,-20°C
☆ BCG-V+A-20-S1,BCG - vial + ampoule - 20 doses - [S1],6,294,BCG,BCG,GreenSignal Bio Pharma Limited,BCG vaccine (Freeze Dried) - Intradermal,Lyophilised active component to be reconstituted with excipient diluent before use,Vial + Ampoule,20,24,none,Intradermal,2-8°C,Current,14,0,0.010800,0.010800,0.017400,No,0.000000,0.000000,0.016000,,2-8°C,,1,$2.74,0.137,,,,,,,DTwP,,,,
☆ BCG-A-20-S1,BCG - ampoule - 20 doses - [S1],4,67,BCG,BCG,Japan BCG Laboratory,BCG Freeze Dried Glutamate vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,20,24,none,Intradermal,2-8°C,Current,30,0,0.014400,0.014400,0.049800,No,0.012000,0.012000,0.022000,No,2-8°C,No,1,$2.74,0.137,,,,,,,DT,,"Frozen liquid, to be diluted after thawing",,#ERROR!
☆ BCG-A-10-S1,BCG - ampoule - 10 doses - [S1],3,338,BCG,BCG,Japan BCG Laboratory,BCG Freezed Dried Glutamate vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,10,24,none,Intradermal,2-8°C,Current,30,0,0.014400,0.014400,0.049800,No,0.012000,0.012000,0.023000,,2-8°C,,1,$2.31,0.231,,,,,,,Dengue,,Lyophilised active component to be reconstituted with liquid active component before use,,-70°C
☆ BCG-A-10-S1,BCG - ampoule - 10 doses - [S1],2,73,BCG,BCG,National Center of Infectious and Parasitic Diseases,BCG Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,10,24,none,Intradermal,2-8°C,Current,30,0,0.022500,0.022500,0.033700,No,0.011000,0.011000,0.011000,,NA,,1,$2.31,0.231,,,,,,,BCG,,Lyophilised active component to be reconstituted with excipient diluent before use,,2-8°C
☆ BCG-A-20-S1,BCG - ampoule - 20 doses - [S1],5,74,BCG,BCG,National Center of Infectious and Parasitic Diseases,BCG Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,20,24,none,Intradermal,2-8°C,Current,30,0,0.022600,0.022600,0.045000,No,0.022000,0.022000,0.022000,,NA,,1,$2.74,0.137,,,,,,,DTaP,,,,
☆ BCG-V-20-S1,BCG - vial - 20 doses - [S1],7,117,BCG,BCG,Serum Institute of India Pvt. Ltd.,BCG Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,20,24,none,Intradermal,2-8°C,Current,14,0,0.017600,0.017600,0.086400,No,0.012000,0.012000,0.000000,No,2-8°C,No,1,$2.74,0.137,,,,,,,DTaP-HepB-Hib-IPV,,,,
☆ bOPV-V-10-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 10 doses - [S4],11,337,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,Bharat Biotech International Limited,BIOPOLIO B1/3,Liquid: ready to use,Vial,10,24,none,Oral,-20°C,Current,2,28,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,,NA,,4,$3.08,0.308,,,,,,,DTwP-HepB-Hib,,,,
☆ bOPV-V-20-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 20 doses - [S4],15,244,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,Bharat Biotech International Limited,BIOPOLIO B1/3,Liquid: ready to use,Vial,20,24,none,Oral,-20°C,Current,2,28,0.017000,0.017000,0.108400,0,0.000000,0.000000,0.000000,,NA,,4,$3.05,0.153,,,,,,,Ebola-Vax (Ad26.ZEBOV-GP [recombinant]),,,,
☆ bOPV-V-10-S4,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3 - vial - 10 doses - [S4],8,183,Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,bOPV,GlaxoSmithKline Biologicals SA,Polio Sabin One and Three,Liquid: ready to use,Vial,10,24,none,Oral,-20°C,Current,2,28,0.009700,0.009700,0.039800,0,0.000000,0.000000,0.000000,No,NA,No,4,$3.08,0.308,,,,,,,DTwP+Hib,,,,
